,Open,High,Low,Close,Volume,TradingDate
0,56538.0,56538.0,56538.0,56538.0,119750,2007-07-24
1,53809.0,53809.0,53809.0,53809.0,14930,2007-07-25
2,51470.0,51470.0,51470.0,51470.0,9000,2007-07-26
3,49130.0,49130.0,49130.0,49130.0,10960,2007-07-27
4,46790.0,46790.0,46790.0,46790.0,200,2007-07-30
5,44451.0,44451.0,44451.0,44451.0,26310,2007-07-31
6,42501.0,44841.0,42501.0,44841.0,205320,2007-08-01
7,42891.0,43671.0,42891.0,42891.0,78080,2007-08-02
8,41722.0,42501.0,41332.0,41332.0,98400,2007-08-03
9,39772.0,40552.0,39772.0,39772.0,135260,2007-08-06
10,39382.0,40942.0,38992.0,40552.0,117200,2007-08-07
11,40552.0,41332.0,40552.0,41332.0,70720,2007-08-08
12,42501.0,43281.0,42501.0,43281.0,117980,2007-08-09
13,45231.0,45231.0,42891.0,44841.0,220080,2007-08-10
14,43281.0,43671.0,42891.0,42891.0,110890,2007-08-13
15,44061.0,44841.0,43671.0,44841.0,269530,2007-08-14
16,44841.0,43671.0,35873.0,44841.0,186580,2007-08-15
17,44841.0,45231.0,44451.0,44451.0,117410,2007-08-16
18,43671.0,39382.0,38602.0,44061.0,67530,2007-08-17
19,44451.0,45231.0,44451.0,45231.0,102940,2007-08-20
20,45231.0,45231.0,44451.0,44841.0,83080,2007-08-21
21,44061.0,44841.0,44061.0,44451.0,48450,2007-08-22
22,44061.0,44451.0,43671.0,43671.0,62030,2007-08-23
23,44061.0,44841.0,44061.0,44061.0,128230,2007-08-24
24,43671.0,44451.0,43671.0,43671.0,35120,2007-08-27
25,43671.0,43671.0,43281.0,43281.0,58960,2007-08-28
26,43281.0,43281.0,42891.0,43281.0,44320,2007-08-29
27,42891.0,43281.0,41722.0,42891.0,51570,2007-08-30
28,43281.0,44061.0,43281.0,43281.0,134270,2007-08-31
29,44061.0,44061.0,43671.0,44061.0,51820,2007-09-04
30,44061.0,44061.0,43281.0,43671.0,39040,2007-09-05
31,42891.0,43281.0,42501.0,42891.0,77350,2007-09-06
32,42891.0,43671.0,42891.0,43281.0,123670,2007-09-07
33,42891.0,43281.0,42891.0,42891.0,50680,2007-09-10
34,42891.0,43281.0,42501.0,42501.0,60100,2007-09-11
35,42111.0,42891.0,42111.0,42501.0,35060,2007-09-12
36,42501.0,42891.0,42501.0,42891.0,43800,2007-09-13
37,42891.0,42891.0,42501.0,42891.0,48650,2007-09-14
38,42501.0,42891.0,42501.0,42501.0,60710,2007-09-17
39,42501.0,42501.0,41722.0,41722.0,136070,2007-09-18
40,42111.0,42891.0,42111.0,42891.0,85020,2007-09-19
41,43671.0,43671.0,42891.0,42891.0,79960,2007-09-20
42,42891.0,43281.0,42501.0,42891.0,106110,2007-09-21
43,42891.0,44061.0,42891.0,44061.0,121070,2007-09-24
44,45231.0,45231.0,44451.0,45231.0,231520,2007-09-25
45,46790.0,46790.0,45231.0,45621.0,178130,2007-09-26
46,45621.0,45621.0,44841.0,45621.0,256500,2007-09-27
47,47570.0,47570.0,46011.0,47570.0,289770,2007-09-28
48,49910.0,49910.0,49910.0,49910.0,265610,2007-10-01
49,52249.0,52249.0,50690.0,52249.0,550000,2007-10-02
50,53809.0,53809.0,52249.0,53809.0,354120,2007-10-03
51,51470.0,53809.0,51470.0,52639.0,222780,2007-10-04
52,53029.0,54589.0,52639.0,54589.0,222170,2007-10-05
53,54589.0,54979.0,53419.0,54589.0,311750,2007-10-08
54,53419.0,54199.0,53419.0,53419.0,90280,2007-10-09
55,52249.0,53809.0,52249.0,52249.0,146930,2007-10-10
56,52249.0,52249.0,51859.0,52249.0,165280,2007-10-11
57,51859.0,52249.0,51080.0,51859.0,179000,2007-10-12
58,52639.0,54199.0,51859.0,54199.0,235670,2007-10-15
59,54589.0,55759.0,53419.0,54589.0,412510,2007-10-16
60,53809.0,55369.0,53419.0,53809.0,136130,2007-10-17
61,52639.0,53809.0,52639.0,53029.0,112700,2007-10-18
62,54589.0,54589.0,52639.0,54589.0,293450,2007-10-19
63,53419.0,53809.0,53419.0,53419.0,97150,2007-10-22
64,53809.0,53809.0,53029.0,53029.0,87020,2007-10-23
65,52639.0,53419.0,52249.0,52639.0,131980,2007-10-24
66,53419.0,53419.0,53029.0,53419.0,173490,2007-10-25
67,53419.0,53419.0,53029.0,53419.0,249250,2007-10-26
68,53419.0,53809.0,53029.0,53809.0,222420,2007-10-29
69,53029.0,53419.0,52639.0,53029.0,79400,2007-10-30
70,54589.0,54589.0,53419.0,53419.0,109780,2007-10-31
71,53419.0,53419.0,53029.0,53419.0,30000,2007-11-01
72,53419.0,53419.0,53029.0,53029.0,72170,2007-11-02
73,50690.0,53029.0,50690.0,50690.0,63040,2007-11-05
74,52249.0,52639.0,51859.0,51859.0,65540,2007-11-06
75,51080.0,51859.0,51080.0,51470.0,37510,2007-11-07
76,51080.0,52249.0,50690.0,51080.0,30240,2007-11-08
77,49910.0,51080.0,49910.0,50690.0,65450,2007-11-09
78,50690.0,50690.0,49910.0,50300.0,85990,2007-11-12
