,Open,High,Low,Close,Volume,TradingDate
0,28635.0,31162.0,28635.0,30404.0,34900,2006-12-28
1,33688.0,33688.0,32004.0,33349.0,49500,2006-12-29
2,36215.0,36215.0,36215.0,36215.0,45200,2007-01-02
3,40426.0,40426.0,40426.0,40426.0,36700,2007-01-03
4,43795.0,43795.0,39584.0,41698.0,57300,2007-01-04
5,42111.0,42111.0,38742.0,40755.0,27100,2007-01-05
6,36215.0,38742.0,36215.0,37553.0,18700,2007-01-08
7,36215.0,36215.0,34531.0,34531.0,34100,2007-01-09
8,34531.0,34531.0,32846.0,33688.0,38600,2007-01-10
9,33688.0,33688.0,32846.0,33688.0,57200,2007-01-11
10,37057.0,37057.0,33688.0,34531.0,39500,2007-01-12
11,35373.0,36215.0,33688.0,35373.0,47100,2007-01-15
12,36215.0,37899.0,34531.0,36215.0,75000,2007-01-16
13,37899.0,37899.0,33688.0,33688.0,45600,2007-01-17
14,36215.0,36215.0,32846.0,32846.0,40500,2007-01-18
15,36215.0,37057.0,32846.0,32846.0,47100,2007-01-19
16,33688.0,33688.0,31162.0,32846.0,47800,2007-01-22
17,32846.0,32846.0,32846.0,32425.0,32400,2007-01-23
18,32846.0,32846.0,32004.0,32004.0,29700,2007-01-24
19,32004.0,32004.0,31162.0,31667.0,37500,2007-01-25
20,31162.0,32846.0,31162.0,32425.0,34500,2007-01-26
21,33688.0,33688.0,32846.0,32846.0,46200,2007-01-29
22,33688.0,33688.0,33688.0,33688.0,87500,2007-01-30
23,33688.0,34531.0,33688.0,34110.0,78600,2007-01-31
24,35373.0,35373.0,34531.0,34446.0,28200,2007-02-01
25,34531.0,36215.0,33688.0,34531.0,75700,2007-02-02
26,35373.0,35373.0,34531.0,34446.0,98700,2007-02-05
27,34531.0,35373.0,34531.0,34531.0,79100,2007-02-06
28,34531.0,35373.0,31162.0,34278.0,48300,2007-02-07
29,33688.0,34531.0,33688.0,33688.0,43000,2007-02-08
30,34531.0,34531.0,33688.0,33773.0,70400,2007-02-09
31,33688.0,34531.0,33688.0,34110.0,41300,2007-02-12
32,34531.0,34531.0,33688.0,34615.0,45100,2007-02-13
33,34531.0,35373.0,33688.0,34531.0,38900,2007-02-14
34,36215.0,37057.0,34531.0,36636.0,53000,2007-02-15
35,39079.0,38742.0,37899.0,39079.0,37800,2007-02-26
36,42953.0,42953.0,42111.0,42869.0,119800,2007-02-27
37,47164.0,47164.0,42953.0,45901.0,246800,2007-02-28
38,46322.0,46322.0,41268.0,45058.0,105300,2007-03-01
39,44637.0,44637.0,42111.0,45058.0,98700,2007-03-02
40,43795.0,46322.0,42111.0,45901.0,119200,2007-03-05
41,49690.0,49690.0,47164.0,49438.0,143500,2007-03-06
42,53902.0,53902.0,53902.0,53480.0,61900,2007-03-07
43,58955.0,58955.0,58955.0,58786.0,125300,2007-03-08
44,64850.0,64850.0,57270.0,57018.0,232400,2007-03-09
45,64008.0,64008.0,57270.0,57439.0,56400,2007-03-12
46,52217.0,57270.0,52217.0,55165.0,161200,2007-03-13
47,53902.0,54744.0,51375.0,55165.0,146200,2007-03-14
48,50533.0,52217.0,48006.0,49522.0,68200,2007-03-15
49,48848.0,55586.0,46322.0,55586.0,99500,2007-03-16
50,58955.0,59797.0,55586.0,56428.0,130700,2007-03-19
51,58955.0,58955.0,52217.0,53902.0,33700,2007-03-20
52,53902.0,53902.0,50533.0,52638.0,27300,2007-03-21
53,51375.0,52217.0,50533.0,50533.0,60700,2007-03-22
54,50533.0,52217.0,49690.0,51375.0,49300,2007-03-23
55,45479.0,51375.0,45479.0,51375.0,25400,2007-03-26
56,43795.0,43795.0,42953.0,51375.0,18400,2007-03-27
57,38742.0,47164.0,38742.0,46995.0,43300,2007-03-28
58,44637.0,44637.0,44637.0,44553.0,7000,2007-03-29
59,48848.0,48848.0,48006.0,44553.0,104100,2007-03-30
60,47164.0,49690.0,44637.0,45479.0,24500,2007-04-02
61,44637.0,45479.0,43795.0,44300.0,21500,2007-04-03
62,45479.0,48006.0,45479.0,47164.0,19100,2007-04-04
63,47164.0,47164.0,42953.0,44637.0,28600,2007-04-05
64,45479.0,45479.0,42111.0,44132.0,32300,2007-04-06
65,42953.0,43795.0,42111.0,43711.0,22200,2007-04-09
66,43795.0,43795.0,43795.0,43711.0,13600,2007-04-10
67,42953.0,44637.0,42111.0,43711.0,18500,2007-04-11
68,43795.0,43795.0,41268.0,41689.0,14000,2007-04-12
69,42111.0,42111.0,38742.0,39079.0,27300,2007-04-13
70,38742.0,39584.0,36215.0,35794.0,24200,2007-04-16
71,32846.0,36215.0,32846.0,34110.0,31800,2007-04-17
72,34531.0,37057.0,34531.0,36720.0,8800,2007-04-18
73,39584.0,39584.0,37057.0,37899.0,64100,2007-04-19
74,37057.0,37899.0,35373.0,35626.0,24500,2007-04-20
75,35373.0,36215.0,33688.0,34531.0,25300,2007-04-23
76,33688.0,37057.0,33688.0,35457.0,27400,2007-04-24
77,35373.0,37057.0,34531.0,35289.0,28500,2007-04-25
78,35036.0,35373.0,35373.0,35036.0,12400,2007-05-02
79,34531.0,35373.0,34531.0,34531.0,4400,2007-05-03
80,35373.0,35373.0,33688.0,34110.0,15800,2007-05-04
81,34531.0,36215.0,34531.0,35373.0,29400,2007-05-07
82,36215.0,36215.0,35373.0,35794.0,17000,2007-05-08
83,36215.0,36215.0,34531.0,34615.0,17400,2007-05-09
84,34531.0,34531.0,34531.0,34278.0,11000,2007-05-10
85,34531.0,34531.0,32846.0,34446.0,24600,2007-05-11
86,34531.0,35373.0,33688.0,34531.0,45100,2007-05-14
87,34531.0,34531.0,33688.0,34110.0,14600,2007-05-15
88,33688.0,33688.0,33688.0,33688.0,12200,2007-05-16
89,32846.0,33688.0,32004.0,33267.0,14000,2007-05-17
90,33688.0,33688.0,32846.0,33436.0,12500,2007-05-18
91,33688.0,33688.0,32846.0,33183.0,21400,2007-05-21
92,33688.0,36215.0,32846.0,36215.0,65900,2007-05-22
93,37899.0,38742.0,35373.0,35457.0,55400,2007-05-23
94,33688.0,34531.0,33688.0,33688.0,29800,2007-05-24
95,32004.0,34531.0,32004.0,34110.0,36000,2007-05-25
96,34531.0,34531.0,33688.0,33941.0,20900,2007-05-28
97,33688.0,34531.0,33688.0,33688.0,24000,2007-05-29
98,32846.0,33688.0,32846.0,33436.0,20900,2007-05-30
99,32846.0,33688.0,32846.0,33688.0,37800,2007-05-31
100,33688.0,34531.0,33688.0,33688.0,42800,2007-06-01
101,30320.0,32846.0,30320.0,32004.0,2900,2007-06-04
