,Date,Close,roe,roa,earningPerShare,debtOnEquity,bookValuePerShare,grossProfitMargin,operatingProfitMargin,assetOnEquity,payableOnEquity
0,2008-04-01,4864.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
1,2008-04-02,4892.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
2,2008-04-03,4921.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
3,2008-04-04,4949.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
4,2008-04-07,5034.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
5,2008-04-08,5119.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
6,2008-04-09,5204.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
7,2008-04-10,5288.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
8,2008-04-11,5232.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
9,2008-04-16,5147.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
10,2008-04-17,5232.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
11,2008-04-18,5147.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
12,2008-04-21,5204.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
13,2008-04-22,5204.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
14,2008-04-23,5119.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
15,2008-04-24,5034.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
16,2008-04-25,5119.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
17,2008-04-28,5204.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
18,2008-04-29,5288.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
19,2008-05-05,5204.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
20,2008-05-06,5119.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
21,2008-05-07,5204.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
22,2008-05-08,5204.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
23,2008-05-09,5119.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
24,2008-05-12,5034.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
25,2008-05-13,4949.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
26,2008-05-14,4864.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
27,2008-05-15,4779.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
28,2008-05-16,4694.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
29,2008-05-19,4610.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
30,2008-05-20,4525.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
31,2008-05-21,4440.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
32,2008-05-22,4355.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
33,2008-05-23,4270.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
34,2008-05-26,4185.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
35,2008-05-30,4129.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
36,2008-06-02,4072.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
37,2008-06-03,4016.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
38,2008-06-04,4072.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
39,2008-06-05,4129.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
40,2008-06-06,4185.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
41,2008-06-09,4242.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
42,2008-06-10,4157.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
43,2008-06-11,4214.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
44,2008-06-12,4270.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
45,2008-06-13,4355.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
46,2008-06-16,4440.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
47,2008-06-17,4525.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
48,2008-06-18,4525.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
49,2008-06-19,4412.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
50,2008-06-20,4525.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
51,2008-06-23,4638.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
52,2008-06-24,4751.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
53,2008-06-25,4892.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
54,2008-06-26,5006.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
55,2008-06-27,5147.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
56,2008-06-30,5288.0,0.332,0.112,78.0,1.7,442.0,0.747,0.358,3.2,1.9
57,2008-07-01,5430.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
58,2008-07-02,5571.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
59,2008-07-03,5713.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
60,2008-07-04,5656.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
61,2008-07-07,5656.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
62,2008-07-08,5656.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
63,2008-07-09,5713.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
64,2008-07-10,5769.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
65,2008-07-11,5769.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
66,2008-07-14,5939.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
67,2008-07-15,6108.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
68,2008-07-16,6108.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
69,2008-07-17,6108.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
70,2008-07-18,6108.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
71,2008-07-21,5939.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
72,2008-07-22,5769.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
73,2008-07-23,5599.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
74,2008-07-24,5599.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
75,2008-07-25,5713.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
76,2008-07-28,5882.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
77,2008-07-29,6052.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
78,2008-07-30,6052.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
79,2008-07-31,5995.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
80,2008-08-01,5995.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
81,2008-08-04,5995.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
82,2008-08-05,5939.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
83,2008-08-06,6108.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
84,2008-08-07,6052.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
85,2008-08-08,6052.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
86,2008-08-11,6052.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
87,2008-08-12,5995.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
88,2008-08-13,6052.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
89,2008-08-14,6222.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
90,2008-08-15,6391.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
91,2008-08-18,6674.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
92,2008-08-19,6731.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
93,2008-08-20,6448.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
94,2008-08-21,6561.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
95,2008-08-22,6335.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
96,2008-08-25,6448.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
97,2008-08-26,6448.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
98,2008-08-27,6504.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
99,2008-08-28,6335.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
100,2008-08-29,6052.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
101,2008-09-03,6052.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
102,2008-09-04,5882.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
103,2008-09-05,5769.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
104,2008-09-08,5826.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
105,2008-09-09,5713.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
106,2008-09-10,5430.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
107,2008-09-11,5373.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
108,2008-09-12,5119.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
109,2008-09-15,5147.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
110,2008-09-16,4892.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
111,2008-09-17,4666.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
112,2008-09-18,4440.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
113,2008-09-19,4638.0,0.144,0.067,64.0,1.9,415.0,0.802,0.431,3.5,2.2
