,Date,Close,roe,roa,earningPerShare,debtOnEquity,bookValuePerShare,grossProfitMargin,operatingProfitMargin,assetOnEquity,payableOnEquity
0,2008-04-01,1409.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
1,2008-04-02,1420.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
2,2008-04-03,1430.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
3,2008-04-04,1441.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
4,2008-04-07,1462.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
5,2008-04-08,1483.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
6,2008-04-09,1462.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
7,2008-04-10,1441.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
8,2008-04-11,1420.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
9,2008-04-16,1399.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
10,2008-04-17,1409.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
11,2008-04-18,1388.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
12,2008-04-21,1367.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
13,2008-04-22,1346.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
14,2008-04-23,1325.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
15,2008-04-24,1304.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
16,2008-04-25,1283.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
17,2008-04-28,1304.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
18,2008-04-29,1325.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
19,2008-05-05,1346.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
20,2008-05-06,1367.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
21,2008-05-07,1367.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
22,2008-05-08,1346.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
23,2008-05-09,1325.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
24,2008-05-12,1304.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
25,2008-05-13,1283.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
26,2008-05-14,1262.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
27,2008-05-15,1241.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
28,2008-05-16,1220.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
29,2008-05-19,1199.0,0.346,0.254,278.0,0.2,989.0,0.219,0.194,1.4,0.3
