,Date,Close,roe,roa,earningPerShare,bookValuePerShare,assetOnEquity,payableOnEquity
0,2014-01-24,11105.0,0.145,0.008,1104.0,8316.0,17.1,16.1
1,2014-01-27,10869.0,0.145,0.008,1104.0,8316.0,17.1,16.1
2,2014-02-06,10397.0,0.145,0.008,1104.0,8316.0,17.1,16.1
3,2014-02-07,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
4,2014-02-10,10042.0,0.145,0.008,1104.0,8316.0,17.1,16.1
5,2014-02-11,9983.0,0.145,0.008,1104.0,8316.0,17.1,16.1
6,2014-02-12,9924.0,0.145,0.008,1104.0,8316.0,17.1,16.1
7,2014-02-13,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
8,2014-02-14,9924.0,0.145,0.008,1104.0,8316.0,17.1,16.1
9,2014-02-17,9865.0,0.145,0.008,1104.0,8316.0,17.1,16.1
10,2014-02-18,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
11,2014-02-19,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
12,2014-02-20,9983.0,0.145,0.008,1104.0,8316.0,17.1,16.1
13,2014-02-21,9865.0,0.145,0.008,1104.0,8316.0,17.1,16.1
14,2014-02-24,9865.0,0.145,0.008,1104.0,8316.0,17.1,16.1
15,2014-02-25,9865.0,0.145,0.008,1104.0,8316.0,17.1,16.1
16,2014-02-26,9865.0,0.145,0.008,1104.0,8316.0,17.1,16.1
17,2014-02-27,9983.0,0.145,0.008,1104.0,8316.0,17.1,16.1
18,2014-02-28,10042.0,0.145,0.008,1104.0,8316.0,17.1,16.1
19,2014-03-03,9865.0,0.145,0.008,1104.0,8316.0,17.1,16.1
20,2014-03-04,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
21,2014-03-05,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
22,2014-03-06,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
23,2014-03-07,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
24,2014-03-10,9865.0,0.145,0.008,1104.0,8316.0,17.1,16.1
25,2014-03-11,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
26,2014-03-12,9747.0,0.145,0.008,1104.0,8316.0,17.1,16.1
27,2014-03-13,9747.0,0.145,0.008,1104.0,8316.0,17.1,16.1
28,2014-03-14,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
29,2014-03-17,9806.0,0.145,0.008,1104.0,8316.0,17.1,16.1
30,2014-03-18,9924.0,0.145,0.008,1104.0,8316.0,17.1,16.1
31,2014-03-19,10278.0,0.145,0.008,1104.0,8316.0,17.1,16.1
32,2014-03-20,10456.0,0.145,0.008,1104.0,8316.0,17.1,16.1
33,2014-03-21,10337.0,0.145,0.008,1104.0,8316.0,17.1,16.1
34,2014-03-24,10397.0,0.145,0.008,1104.0,8316.0,17.1,16.1
35,2014-03-25,10160.0,0.145,0.008,1104.0,8316.0,17.1,16.1
36,2014-03-26,9924.0,0.145,0.008,1104.0,8316.0,17.1,16.1
37,2014-03-27,9924.0,0.145,0.008,1104.0,8316.0,17.1,16.1
38,2014-03-28,10042.0,0.145,0.008,1104.0,8316.0,17.1,16.1
39,2014-03-31,9924.0,0.145,0.008,1104.0,8316.0,17.1,16.1
40,2014-04-01,9865.0,0.131,0.007,996.0,8237.0,17.5,16.5
41,2014-04-02,9865.0,0.131,0.007,996.0,8237.0,17.5,16.5
42,2014-04-03,9924.0,0.131,0.007,996.0,8237.0,17.5,16.5
43,2014-04-04,9983.0,0.131,0.007,996.0,8237.0,17.5,16.5
44,2014-04-07,9924.0,0.131,0.007,996.0,8237.0,17.5,16.5
45,2014-04-08,9865.0,0.131,0.007,996.0,8237.0,17.5,16.5
46,2014-04-10,9865.0,0.131,0.007,996.0,8237.0,17.5,16.5
47,2014-04-11,9806.0,0.131,0.007,996.0,8237.0,17.5,16.5
48,2014-04-14,9865.0,0.131,0.007,996.0,8237.0,17.5,16.5
49,2014-04-15,9747.0,0.131,0.007,996.0,8237.0,17.5,16.5
50,2014-04-16,9451.0,0.131,0.007,996.0,8237.0,17.5,16.5
51,2014-04-17,9510.0,0.131,0.007,996.0,8237.0,17.5,16.5
52,2014-04-18,9392.0,0.131,0.007,996.0,8237.0,17.5,16.5
53,2014-04-21,9156.0,0.131,0.007,996.0,8237.0,17.5,16.5
54,2014-04-22,9333.0,0.131,0.007,996.0,8237.0,17.5,16.5
55,2014-04-23,9333.0,0.131,0.007,996.0,8237.0,17.5,16.5
56,2014-04-24,9392.0,0.131,0.007,996.0,8237.0,17.5,16.5
57,2014-04-25,9274.0,0.131,0.007,996.0,8237.0,17.5,16.5
58,2014-04-28,9274.0,0.131,0.007,996.0,8237.0,17.5,16.5
59,2014-04-29,9333.0,0.131,0.007,996.0,8237.0,17.5,16.5
60,2014-05-05,9215.0,0.131,0.007,996.0,8237.0,17.5,16.5
61,2014-05-06,8979.0,0.131,0.007,996.0,8237.0,17.5,16.5
62,2014-05-07,9156.0,0.131,0.007,996.0,8237.0,17.5,16.5
63,2014-05-08,8624.0,0.131,0.007,996.0,8237.0,17.5,16.5
64,2014-05-09,8743.0,0.131,0.007,996.0,8237.0,17.5,16.5
65,2014-05-12,8270.0,0.131,0.007,996.0,8237.0,17.5,16.5
66,2014-05-13,8329.0,0.131,0.007,996.0,8237.0,17.5,16.5
67,2014-05-14,8683.0,0.131,0.007,996.0,8237.0,17.5,16.5
68,2014-05-15,8388.0,0.131,0.007,996.0,8237.0,17.5,16.5
69,2014-05-16,8624.0,0.131,0.007,996.0,8237.0,17.5,16.5
70,2014-05-19,8565.0,0.131,0.007,996.0,8237.0,17.5,16.5
71,2014-05-20,8683.0,0.131,0.007,996.0,8237.0,17.5,16.5
72,2014-05-21,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
73,2014-05-22,8624.0,0.131,0.007,996.0,8237.0,17.5,16.5
74,2014-05-23,8683.0,0.131,0.007,996.0,8237.0,17.5,16.5
75,2014-05-26,8624.0,0.131,0.007,996.0,8237.0,17.5,16.5
76,2014-05-27,8861.0,0.131,0.007,996.0,8237.0,17.5,16.5
77,2014-05-28,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
78,2014-05-29,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
79,2014-05-30,8743.0,0.131,0.007,996.0,8237.0,17.5,16.5
80,2014-06-02,8624.0,0.131,0.007,996.0,8237.0,17.5,16.5
81,2014-06-03,8565.0,0.131,0.007,996.0,8237.0,17.5,16.5
82,2014-06-04,8565.0,0.131,0.007,996.0,8237.0,17.5,16.5
83,2014-06-05,8565.0,0.131,0.007,996.0,8237.0,17.5,16.5
84,2014-06-06,8624.0,0.131,0.007,996.0,8237.0,17.5,16.5
85,2014-06-09,8565.0,0.131,0.007,996.0,8237.0,17.5,16.5
86,2014-06-10,8683.0,0.131,0.007,996.0,8237.0,17.5,16.5
87,2014-06-11,8683.0,0.131,0.007,996.0,8237.0,17.5,16.5
88,2014-06-12,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
89,2014-06-13,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
90,2014-06-16,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
91,2014-06-17,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
92,2014-06-18,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
93,2014-06-19,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
94,2014-06-20,8683.0,0.131,0.007,996.0,8237.0,17.5,16.5
95,2014-06-23,8802.0,0.131,0.007,996.0,8237.0,17.5,16.5
96,2014-06-24,8861.0,0.131,0.007,996.0,8237.0,17.5,16.5
97,2014-06-25,8861.0,0.131,0.007,996.0,8237.0,17.5,16.5
98,2014-06-26,8920.0,0.131,0.007,996.0,8237.0,17.5,16.5
99,2014-06-27,8979.0,0.131,0.007,996.0,8237.0,17.5,16.5
100,2014-06-30,8979.0,0.131,0.007,996.0,8237.0,17.5,16.5
101,2014-07-01,8920.0,0.14,0.008,1106.0,7968.0,18.7,17.7
