,Date,Close,roe,roa,earningPerShare,debtOnEquity,bookValuePerShare,grossProfitMargin,operatingProfitMargin,assetOnEquity,payableOnEquity
0,2013-04-01,35361.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
1,2013-04-02,34741.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
2,2013-04-03,34120.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
3,2013-04-04,32569.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
4,2013-04-05,33190.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
5,2013-04-08,33500.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
6,2013-04-09,35051.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
7,2013-04-10,34120.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
8,2013-04-11,35671.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
9,2013-04-12,34430.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
10,2013-04-15,34430.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
11,2013-04-16,34120.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
12,2013-04-17,34430.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
13,2013-04-18,33500.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
14,2013-04-22,32880.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
15,2013-04-23,33500.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
16,2013-04-24,33810.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
17,2013-04-25,33500.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
18,2013-04-26,32880.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
19,2013-05-02,32880.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
20,2013-05-03,32880.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
21,2013-05-06,34430.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
22,2013-05-07,33500.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
23,2013-05-08,33810.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
24,2013-05-09,33810.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
25,2013-05-10,34120.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
26,2013-05-13,33810.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
27,2013-05-14,34120.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
28,2013-05-15,34437.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
29,2013-05-16,34753.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
30,2013-05-17,34437.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
31,2013-05-20,34753.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
32,2013-05-21,36016.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
33,2013-05-22,36016.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
34,2013-05-23,36648.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
35,2013-05-24,36964.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
36,2013-05-27,38544.0,0.42,0.244,6365.0,0.3,16005.0,0.276,0.228,1.6,0.5
