,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,04/07/22,2021,0.3,cash
1,28/06/21,2020,0.3,cash
2,14/07/20,2019,0.35,cash
3,29/08/19,2018,0.13,cash
4,29/08/19,2019,0.1,cash
5,15/03/19,2018,0.2,cash
6,27/08/18,2018,0.2,cash
7,28/06/18,2017,0.2,cash
8,20/11/17,2017,0.1,cash
9,15/09/17,2017,0.1,cash
10,28/06/17,2016,0.1,cash
11,10/04/17,2016,0.07,cash
12,22/12/16,2016,0.23,cash
13,30/09/16,2015,0.05,cash
14,17/03/16,2015,0.2,cash
15,01/10/15,2015,0.1,cash
16,27/05/15,2014,0.07,cash
17,15/12/14,2014,0.18,cash
18,22/09/14,2014,0.15,cash
19,12/05/14,2013,0.22,cash
