,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/09/22,2022,0.2,share
1,15/06/21,2021,0.1,share
2,23/04/20,2020,0.05,share
3,22/04/19,2019,0.1,share
4,31/05/18,2018,0.1,share
5,11/05/18,2017,0.05,cash
6,30/03/18,2017,0.05,cash
7,29/05/17,2017,0.55,share
8,27/02/17,2016,0.1,cash
9,31/05/16,2016,0.5,share
10,14/04/16,2015,0.25,cash
11,26/11/15,2015,0.3,share
12,15/06/15,2014,0.1,cash
13,16/03/15,2013,0.05,cash
14,21/05/14,2013,0.1,cash
15,22/01/14,2013,0.1,cash
16,27/08/13,2012,0.05,cash
17,16/05/13,2012,0.1,cash
18,18/03/13,2012,0.1,cash
19,26/11/12,2011,0.05,cash
