,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/11/22,2022,0.07,share
1,23/10/20,2019,0.05,cash
2,09/07/19,2018,0.04,cash
3,14/01/19,2019,0.06,share
4,24/12/18,2018,0.04,cash
5,11/10/16,2016,0.06,share
6,18/12/15,2015,0.07,cash
7,11/06/14,2014,0.05,cash
8,20/12/13,2013,0.05,cash
9,17/05/13,2012,0.05,cash
10,17/05/13,2013,0.05,cash
11,15/11/12,2012,0.15,cash
12,10/11/11,2011,0.1,cash
13,10/05/11,2010,0.08,cash
14,23/12/10,2010,0.1,cash
15,17/05/10,2009,0.13,cash
16,04/12/08,2008,0.05,cash
17,25/04/08,2007,0.12,cash
