,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,15/07/22,2021,0.045,cash
1,21/09/21,2020,0.125,cash
2,15/07/21,2020,0.125,cash
3,17/05/21,2020,0.189,cash
4,12/03/21,2020,0.115,cash
5,18/12/20,2020,0.035,cash
6,17/04/20,2019,0.1,cash
7,20/12/19,2019,0.15,cash
8,17/05/19,2018,0.12,cash
9,11/12/18,2018,0.15,cash
10,30/05/18,2017,0.1,cash
11,23/04/18,2017,0.03,cash
12,08/12/17,2017,0.12,cash
13,29/05/17,2016,0.12,cash
14,29/12/16,2016,0.08,cash
15,18/05/16,2015,0.25,cash
16,22/05/15,2014,0.12,cash
17,29/12/14,2014,0.08,cash
18,23/07/14,2013,0.07,cash
19,14/05/14,2013,0.08,cash
