,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,19/12/22,2022,0.3,cash
1,03/06/22,2022,1.17,share
2,29/12/21,2021,0.1,cash
3,07/05/21,2021,0.15,share
4,14/12/20,2020,0.15,cash
5,07/08/20,2019,0.05,cash
6,07/08/20,2020,0.15,share
7,20/12/19,2019,0.1,cash
8,08/05/19,2019,0.15,share
9,11/04/19,2018,0.05,cash
10,16/01/19,2018,0.1,cash
11,17/01/18,2016,0.15,cash
12,17/01/18,2017,0.05,cash
13,11/07/16,2016,0.185,share
14,28/04/16,2015,0.121,cash
15,11/01/16,2015,0.1,cash
16,05/06/15,2015,0.26,share
17,27/01/15,2014,0.05,cash
18,02/12/13,2013,0.523,share
