,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/08/22,2022,0.2,share
1,12/07/21,2021,0.35,share
2,05/10/20,2020,0.15,share
3,18/09/19,2019,0.08,share
4,05/04/19,2018,0.06,cash
5,06/07/18,2018,0.05,share
6,17/01/18,2017,0.06,cash
7,29/09/17,2017,0.05,share
8,23/02/17,2016,0.06,cash
9,24/10/16,2016,0.05,share
10,15/09/15,2015,0.05,cash
11,17/08/15,2015,0.03,share
12,29/10/14,2014,0.07,cash
13,10/09/14,2014,0.03,share
14,16/10/13,2013,0.08,cash
15,14/05/13,2012,0.02,cash
16,13/11/12,2012,0.1,cash
17,17/05/12,2011,0.02,cash
18,28/02/12,2011,0.03,cash
19,07/12/11,2011,0.12,cash
