,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,24/08/22,2022,0.1,cash
1,13/06/22,2021,0.1,cash
2,13/06/22,2022,0.2,share
3,16/08/21,2021,0.1,cash
4,01/06/21,2020,0.1,cash
5,01/06/21,2021,0.15,share
6,17/08/20,2020,0.1,cash
7,13/05/20,2019,0.1,cash
8,13/05/20,2020,0.15,share
9,15/08/19,2019,0.1,cash
10,17/05/19,2018,0.1,cash
11,17/05/19,2019,0.1,share
12,16/08/18,2018,0.1,cash
13,25/05/18,2017,0.15,cash
14,25/05/18,2018,0.15,share
15,17/08/17,2017,0.1,cash
16,25/05/17,2016,0.1,cash
17,25/05/17,2017,0.15,share
18,22/08/16,2016,0.1,cash
19,27/05/16,2015,0.1,cash
