,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,27/10/22,2022,0.04,share
1,21/01/22,2022,0.044,share
2,24/09/19,2019,0.03,share
3,19/12/18,2018,0.03,share
4,12/06/15,2014,0.05,cash
5,14/03/14,2013,0.06,cash
6,22/04/13,2013,0.06,share
7,29/03/11,2010,0.05,cash
8,06/12/10,2010,0.1,cash
9,22/04/10,2009,0.12,cash
10,21/10/09,2009,0.1,cash
11,04/04/08,2007,0.17,cash
12,17/09/07,2007,0.08,cash
13,07/02/07,2006,0.08,cash
14,28/06/06,2006,0.08,cash
15,18/01/06,2005,0.1,cash
16,11/08/05,2005,0.06,cash
17,27/01/05,2004,0.1,cash
18,29/07/04,2004,0.06,cash
19,20/02/04,2003,0.08,cash
