,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/06/22,2021,0.1,cash
1,17/06/22,2022,0.231,share
2,23/06/21,2020,0.1,cash
3,03/08/20,2019,0.1,cash
4,03/08/20,2020,0.16,share
5,06/09/19,2019,0.171,share
6,06/09/19,2018,0.1,cash
7,16/11/18,2017,0.1,cash
8,16/11/18,2018,0.1,share
9,05/06/17,2017,0.1,share
10,05/06/17,2016,0.1,cash
11,07/10/16,2015,0.08,cash
12,07/10/16,2016,0.12,share
13,30/11/15,2015,0.12,share
14,05/08/15,2014,0.1,cash
15,31/07/15,2015,0.15,share
16,22/07/14,2013,0.1,cash
