,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,19/08/22,2022,0.06,cash
1,19/04/22,2021,0.06,cash
2,23/08/21,2020,0.06,cash
3,17/12/20,2020,0.1,cash
4,27/08/20,2019,0.16,cash
5,29/11/19,2018,0.1,cash
6,09/08/18,2017,0.16,cash
7,25/07/17,2016,0.16,cash
8,15/09/16,2015,0.14,cash
9,01/06/16,2014,0.1,cash
10,11/08/15,2015,2.0,cash
11,04/05/15,2014,0.1,cash
12,17/07/14,2013,0.1,cash
13,24/03/14,2013,0.1,cash
14,14/08/13,2012,0.1,cash
15,27/02/13,2012,0.1,cash
16,25/07/12,2011,0.12,cash
17,08/03/12,2011,0.12,cash
18,24/08/11,2010,0.12,cash
19,04/10/10,2010,0.12,cash
