,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/12/22,2022,0.1,cash
1,14/12/22,2023,0.15,share
2,14/11/22,2021,0.05,cash
3,14/11/22,2022,0.05,cash
4,19/07/22,2021,0.1,cash
5,13/05/22,2021,0.15,cash
6,23/07/21,2020,0.05,cash
7,23/07/21,2021,0.05,cash
8,23/07/21,2021,0.25,share
9,30/12/20,2020,0.2,cash
10,09/04/20,2019,0.1,cash
11,24/12/19,2019,0.1,cash
12,19/07/19,2019,0.2,share
13,26/11/18,2018,0.2,share
14,22/09/17,2017,0.1,share
15,18/08/16,2016,0.1,share
16,18/08/16,2016,0.1,cash
17,20/10/15,2015,0.1,cash
18,10/08/15,2015,0.1,share
19,14/05/15,2014,0.1,cash
