,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,16/02/23,2022,0.4,cash
1,20/07/22,2021,0.4,cash
2,27/01/22,2021,0.1,cash
3,05/07/21,2020,0.07,cash
4,25/01/21,2020,0.07,cash
5,05/08/20,2019,0.07,cash
6,27/04/20,2019,0.05,cash
7,13/06/19,2018,0.05,cash
8,27/02/19,2018,0.05,cash
9,14/06/18,2017,0.1,cash
10,21/12/17,2017,0.1,cash
11,19/05/17,2016,0.1,cash
12,29/11/16,2016,0.2,cash
13,23/05/16,2015,0.15,cash
14,28/12/15,2015,0.25,cash
15,22/05/15,2014,0.15,cash
16,19/09/14,2014,0.15,cash
17,16/05/14,2013,0.25,cash
18,27/09/13,2013,0.25,cash
19,20/05/13,2012,0.2,cash
