,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,02/03/23,2022,0.1,cash
1,20/12/22,2022,0.25,cash
2,02/03/22,2021,0.15,cash
3,07/01/22,2021,0.2,cash
4,02/03/21,2020,0.15,cash
5,30/11/20,2020,0.2,cash
6,13/02/20,2019,0.35,cash
7,05/09/19,2018,0.15,cash
8,26/11/18,2018,0.2,cash
9,16/10/18,2018,0.15,cash
10,15/01/18,2017,0.35,cash
11,26/12/16,2016,0.3,cash
12,09/06/16,2015,0.3,cash
13,06/07/15,2014,0.25,cash
14,19/07/14,2013,0.08,cash
15,18/01/14,2013,0.15,cash
16,31/12/12,2012,0.22,cash
17,31/12/11,2011,0.2,cash
18,15/07/11,2010,0.1,cash
19,14/01/11,2010,0.2,cash
