,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,28/02/23,2022,0.1,cash
1,17/05/22,2022,0.15,share
2,19/04/22,2021,0.1,cash
3,02/03/20,2019,0.16,cash
4,26/02/19,2018,0.18,cash
5,28/02/18,2017,0.16,cash
6,28/02/17,2016,0.16,cash
7,11/05/16,2016,0.15,share
8,26/02/16,2015,0.1,cash
9,25/02/15,2014,0.16,cash
10,19/02/14,2013,0.16,cash
11,20/02/13,2012,0.16,cash
12,16/02/12,2011,0.16,cash
13,15/02/11,2010,0.16,cash
14,23/06/10,2010,0.2,share
15,12/08/09,2009,0.07,cash
16,13/08/08,2008,0.4,share
17,08/05/07,2007,0.5,share
18,20/12/06,2006,0.09,cash
19,15/05/06,2006,0.07,cash
