,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,06/01/23,2022,0.06,cash
1,28/10/22,2021,0.08,cash
2,23/06/22,2021,0.06,cash
3,07/03/22,2021,0.06,cash
4,09/12/21,2020,0.06,cash
5,15/03/21,2020,0.08,cash
6,08/12/20,2020,0.06,cash
7,01/04/20,2019,0.1,cash
8,23/07/19,2019,0.08,cash
9,21/05/19,2018,0.02,cash
10,28/12/18,2018,0.08,cash
11,08/08/18,2018,0.1,cash
12,14/05/18,2017,0.02,cash
13,19/12/17,2017,0.08,cash
14,16/08/17,2017,0.1,cash
15,17/05/17,2016,0.08,cash
16,23/11/16,2016,0.1,cash
17,01/06/16,2015,0.1,cash
18,30/12/15,2015,0.05,cash
19,10/06/15,2014,0.03,cash
