,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/06/22,2021,0.1,cash
1,15/06/21,2020,0.1,cash
2,20/07/20,2019,0.1,cash
3,09/04/20,2020,0.16,share
4,04/10/19,2018,0.1,cash
5,04/10/18,2017,0.1,cash
6,09/10/17,2016,0.1,cash
7,11/10/16,2015,0.1,cash
8,14/08/15,2015,0.1,share
9,24/09/14,2013,0.1,cash
10,23/07/13,2012,0.1,cash
11,21/11/12,2011,0.1,cash
12,29/08/11,2010,0.1,cash
13,19/05/10,2009,0.05,cash
14,31/12/09,2009,0.1,cash
15,26/11/08,2008,0.1,cash
16,15/05/08,2007,0.2,cash
17,24/05/07,2007,0.0,share
18,23/04/07,2007,0.1,cash
