,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/09/21,2020,0.1,cash
1,28/08/20,2019,0.3,cash
2,26/09/19,2018,0.3,cash
3,13/08/18,2017,0.5,cash
4,30/08/17,2016,0.5,cash
5,09/05/16,2015,0.55,cash
6,03/06/15,2014,0.5,cash
7,25/06/14,2013,0.1,cash
8,21/02/14,2013,0.1,cash
9,30/05/13,2012,0.1,cash
10,14/01/13,2012,0.1,cash
11,19/04/12,2011,0.2,cash
12,09/05/11,2010,0.1,cash
13,31/08/10,2010,0.1,cash
14,25/05/10,2009,0.1,cash
15,03/09/09,2009,0.1,cash
16,23/12/08,2008,0.14,cash
17,23/08/08,2008,0.1,cash
