,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/01/23,2021,0.025,cash
1,17/01/23,2022,0.025,cash
2,06/12/21,2021,0.05,cash
3,11/05/21,2020,0.07,cash
4,29/12/20,2020,0.05,cash
5,09/07/20,2019,0.07,cash
6,19/12/19,2019,0.05,cash
7,21/05/19,2018,0.19,cash
8,29/11/18,2018,0.06,cash
9,17/05/18,2017,0.15,cash
10,09/01/18,2017,0.06,cash
11,15/05/17,2016,0.12,cash
12,27/12/16,2016,0.05,cash
13,09/05/16,2015,0.093,cash
14,22/12/15,2015,0.05,cash
15,06/05/15,2014,0.16,cash
16,06/01/15,2014,0.05,cash
17,06/05/14,2013,0.12,cash
18,26/08/13,2013,0.05,cash
19,14/05/13,2012,0.15,cash
