,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/10/20,2019,0.1,cash
1,01/03/17,2016,0.055,cash
2,26/12/16,2016,0.065,cash
3,18/07/16,2016,0.065,cash
4,03/11/15,2015,0.08,cash
5,14/09/15,2014,0.02,cash
6,14/09/15,2015,0.08,cash
7,12/02/15,2014,0.12,cash
8,02/01/14,2013,0.12,cash
9,18/09/13,2012,0.04,cash
10,14/11/12,2012,0.08,cash
11,07/05/12,2011,0.18,cash
12,25/02/11,2010,0.08,cash
13,10/12/10,2010,0.1,cash
14,14/01/10,2009,0.1,cash
15,24/08/09,2009,0.1,cash
16,02/07/08,2008,0.06,cash
17,25/01/08,2007,0.08,cash
18,15/08/07,2007,0.07,cash
19,05/02/07,2006,0.06,cash
