,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,13/12/22,2022,0.03,cash
1,24/05/22,2021,0.056,cash
2,24/11/21,2021,0.036,share
3,24/11/21,2021,0.062,cash
4,18/05/21,2020,0.044,cash
5,14/12/20,2020,0.045,cash
6,24/09/20,2020,0.096,share
7,05/06/20,2019,0.048,cash
8,11/12/19,2019,0.048,cash
9,04/09/19,2019,0.082,share
10,10/06/19,2018,0.029,cash
11,04/12/18,2018,0.02,cash
12,06/06/18,2017,0.019,cash
13,06/06/18,2018,0.113,share
14,13/10/17,2017,0.023,cash
15,28/06/17,2016,0.025,cash
16,28/06/17,2017,0.1,share
17,08/12/16,2016,0.025,cash
18,23/03/16,2015,0.047,cash
19,21/08/15,2015,0.019,cash
