,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,25/05/22,2021,0.15,cash
1,23/06/21,2020,0.15,cash
2,14/07/20,2019,0.1,cash
3,14/07/20,2020,0.1,share
4,13/06/19,2018,0.2,cash
5,04/06/18,2018,0.15,share
6,28/11/17,2017,0.05,cash
7,24/05/17,2016,0.08,cash
8,24/05/17,2017,0.1,share
9,19/05/16,2015,0.2,cash
10,15/05/15,2014,0.18,cash
11,15/05/14,2013,0.15,cash
12,14/11/13,2013,0.1,cash
13,05/06/13,2012,0.1,cash
14,16/10/12,2012,0.12,cash
15,25/04/12,2011,0.22,cash
16,05/05/11,2010,0.22,cash
17,14/04/10,2009,0.2,cash
18,27/04/09,2008,0.1,cash
19,10/11/08,2008,0.1,cash
