,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/10/22,2021,0.065,cash
1,04/04/22,2021,0.1,cash
2,29/09/21,2020,0.1,cash
3,05/02/21,2020,0.1,cash
4,23/07/20,2019,0.15,cash
5,09/01/20,2019,0.1,cash
6,27/12/18,2018,0.09,cash
7,20/09/18,2018,0.15,cash
8,13/07/18,2015,0.279,cash
9,17/05/18,2017,0.2,cash
10,09/10/17,2017,0.1,cash
11,24/05/17,2016,0.16,cash
12,21/12/16,2016,0.05,cash
13,12/08/16,2016,0.08,cash
14,12/08/16,2016,0.07,cash
15,20/04/16,2015,0.13,cash
16,20/04/16,2016,0.04,share
17,14/10/15,2015,0.09,cash
18,20/05/15,2014,0.13,cash
19,18/12/14,2014,0.05,cash
