,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/06/22,2022,0.05,share
1,29/09/21,2021,0.2,cash
2,10/06/21,2021,0.1,share
3,16/09/20,2020,0.15,cash
4,06/04/20,2019,0.05,cash
5,06/04/20,2020,0.05,share
6,06/04/20,2020,0.1,share
7,12/04/19,2019,0.1,share
8,30/03/18,2017,0.1,cash
9,14/03/17,2017,0.1,share
10,20/06/16,2016,0.05,cash
11,04/03/16,2016,0.2,share
12,12/11/15,2015,0.05,cash
13,21/11/14,2014,0.15,cash
14,15/05/14,2013,0.02,cash
15,27/12/13,2013,0.12,cash
16,05/12/12,2012,0.15,cash
17,16/12/11,2011,0.2,cash
18,13/01/11,2010,0.15,cash
19,02/12/09,2009,0.05,cash
