,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/10/22,2021,0.12,cash
1,13/08/21,2020,0.12,cash
2,03/09/20,2019,0.1,cash
3,05/11/19,2018,0.15,cash
4,17/09/18,2017,0.15,cash
5,09/03/18,2016,0.15,cash
6,09/03/18,2018,0.65,cash
7,27/05/16,2015,0.2,cash
8,12/11/15,2014,0.2,cash
9,11/12/14,2013,0.12,cash
10,26/11/13,2012,0.1,cash
11,03/04/12,2010,0.06,cash
12,15/12/09,2009,0.15,cash
13,04/03/08,2007,0.15,cash
14,08/12/06,2006,0.12,cash
15,14/07/06,2005,0.12,cash
16,25/05/05,2004,0.12,cash
17,20/04/05,2005,0.05,share
18,17/08/04,2004,0.12,cash
19,08/10/03,2003,0.12,cash
