,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,06/07/22,2022,0.2,share
1,17/03/22,2021,0.1,cash
2,21/12/21,2021,0.2,share
3,25/01/21,2020,0.1,cash
4,15/06/20,2020,0.3,share
5,26/12/19,2019,0.1,cash
6,11/06/19,2019,0.25,share
7,24/12/18,2018,0.1,cash
8,27/02/18,2017,0.05,cash
9,24/03/17,2016,0.1,cash
10,19/08/16,2015,0.05,cash
11,19/08/16,2016,0.1,share
12,27/12/13,2013,0.05,cash
13,21/02/13,2012,0.05,cash
14,23/12/11,2011,0.1,cash
15,27/04/11,2010,0.05,cash
16,12/01/11,2010,0.1,cash
17,12/04/10,2009,0.1,cash
