,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/09/21,2020,0.05,cash
1,23/09/21,2021,0.15,share
2,16/12/20,2020,0.15,share
3,16/12/20,2019,0.05,cash
4,18/02/20,2020,0.15,share
5,04/12/19,2018,0.1,cash
6,19/10/18,2017,0.15,cash
7,19/10/18,2018,0.1,share
8,05/04/18,2018,0.25,share
9,19/10/17,2016,0.05,cash
10,21/06/16,2015,0.05,cash
11,21/06/16,2016,0.15,share
12,18/12/15,2014,0.09,cash
13,09/06/14,2013,0.06,cash
14,31/12/13,2013,0.07,cash
15,29/05/13,2012,0.04,cash
16,29/05/13,2013,0.05,cash
17,13/12/12,2012,0.06,cash
18,11/05/12,2011,0.06,cash
19,18/05/11,2010,0.1,cash
