,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,16/12/22,2022,0.2,cash
1,16/12/22,2022,0.2,cash
2,16/12/21,2021,0.25,cash
3,06/12/21,2020,0.2,cash
4,09/12/20,2020,0.25,cash
5,24/12/19,2019,0.1,cash
6,24/12/19,2019,0.1,cash
7,24/12/19,2019,0.1,cash
8,06/09/19,2018,0.05,cash
9,13/12/18,2018,0.15,cash
10,14/06/18,2017,0.23,cash
11,26/05/17,2016,0.18,cash
12,12/08/16,2015,0.05,cash
13,21/12/15,2015,0.15,cash
14,06/05/15,2014,0.2,cash
15,26/05/14,2013,0.15,cash
16,29/10/13,2013,0.15,cash
17,10/04/13,2012,0.15,cash
18,13/11/12,2012,0.15,cash
19,14/02/12,2011,0.15,cash
