,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/12/22,2022,0.1,cash
1,26/05/22,2021,0.05,cash
2,26/05/22,2022,0.4,share
3,09/06/21,2020,0.2,cash
4,13/07/20,2019,0.2,cash
5,15/04/20,2019,0.1,cash
6,25/04/19,2018,0.32,cash
7,27/06/18,2017,0.1,cash
8,27/06/18,2018,0.5,share
9,05/06/17,2016,0.1,cash
10,05/06/17,2017,0.2,share
11,15/09/16,2016,0.2,share
12,27/05/15,2015,0.2,share
13,14/04/14,2013,0.25,cash
14,08/05/13,2012,0.1,cash
15,22/11/12,2012,0.1,cash
16,10/04/12,2011,0.2,cash
17,20/12/11,2011,0.1,share
