,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,26/10/22,2022,0.31,cash
1,11/05/22,2021,0.135,cash
2,14/01/22,2021,0.125,cash
3,17/05/21,2020,0.148,cash
4,04/02/21,2020,0.2,cash
5,07/10/20,2020,0.284,cash
6,17/07/20,2019,0.1,cash
7,05/05/20,2019,0.2,cash
8,04/12/19,2019,0.2,cash
9,04/06/19,2018,0.25,cash
10,07/12/18,2018,0.15,cash
11,11/05/18,2017,0.25,cash
12,14/11/17,2017,0.15,cash
13,13/06/17,2016,0.2,cash
14,30/12/16,2016,0.2,cash
15,19/05/16,2015,0.45,cash
16,23/12/15,2015,0.15,cash
17,19/05/15,2014,0.25,cash
18,10/11/14,2014,0.1,cash
19,15/05/14,2013,0.2,cash
