,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/06/22,2022,0.1,share
1,24/05/22,2021,0.12,cash
2,21/09/21,2020,0.06,cash
3,21/09/21,2021,0.06,cash
4,11/01/21,2019,0.06,cash
5,11/01/21,2020,0.06,cash
6,30/12/19,2018,0.02,cash
7,14/02/19,2018,0.1,cash
8,09/07/18,2017,0.04,cash
9,27/12/17,2017,0.08,cash
10,11/07/17,2016,0.08,cash
11,16/06/16,2015,0.07,cash
12,04/06/15,2014,0.06,cash
13,28/07/14,2013,0.04,cash
14,17/08/10,2010,0.07,cash
15,14/06/10,2009,0.12,cash
16,17/06/09,2008,0.03,cash
