,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,20/10/22,2022,0.2,cash
1,21/12/21,2021,0.2,cash
2,08/10/20,2020,0.2,cash
3,30/12/19,2019,1.0,share
4,17/05/19,2018,0.2,cash
5,07/12/18,2018,0.2,cash
6,15/03/18,2017,0.2,cash
7,18/11/16,2016,0.1,cash
8,14/06/16,2015,0.05,cash
9,14/06/16,2016,0.1,cash
10,02/07/15,2015,0.1,cash
11,20/11/14,2014,0.5,share
12,23/04/14,2013,0.15,cash
13,12/06/13,2013,0.3,share
14,18/12/12,2012,0.1,cash
15,06/07/12,2011,0.1,cash
16,03/10/11,2011,0.15,cash
17,31/08/10,2010,0.3,share
18,09/12/09,2009,0.15,cash
19,02/12/08,2008,0.12,cash
